suite,task,optimizer,trial_index,hyperparameters,mean_final_val_loss,mean_best_val_loss,mean_final_val_accuracy,mean_best_val_accuracy,mean_steps_to_target_loss,mean_steps_to_target_accuracy,mean_runtime_seconds,loss_variance,divergence_rate,selection_score
tuning,breast_cancer_mlp,blockwise_consensus_direction_optimizer,1,"{""block_strategy"": ""smart_bcdo"", ""coherence_weight"": 0.18, ""conflict_penalty"": 0.12, ""consensus_matrix_mix"": 0.14, ""consensus_memory_mix"": 0.38, ""cost_penalty_weight"": 0.02, ""descent_weight"": 0.52, ""dimension_power"": 0.06, ""energy_decay"": 0.97, ""energy_power"": 0.5, ""fallback_threshold"": 0.06, ""grad_decay"": 0.97, ""improvement_weight"": 0.04, ""lr"": 0.015, ""magnitude_mode"": ""energy_normalized"", ""matrix_candidate_mode"": ""row_column_consensus"", ""matrix_consensus_bonus"": 0.05, ""max_scale"": 1.45, ""max_update_ratio"": 0.16, ""memory_decay"": 0.88, ""min_scale"": 0.82, ""oscillation_penalty"": 0.12, ""recoverability_drop_fraction"": 0.1, ""recoverability_interval"": 8, ""recoverability_keep_ratio"": 0.5, ""recoverability_noise_scale"": 0.02, ""recoverability_samples"": 0, ""recoverability_weight"": 0.0, ""recovery_threshold"": 0.55, ""row_column_energy_weight"": 0.55, ""row_column_mix"": 0.6, ""selection_mode"": ""winner_take_all"", ""selection_temperature"": 0.25, ""small_matrix_cutoff"": 1024, ""smooth_decay"": 0.96, ""stability_weight"": 0.16, ""stable_consensus_bonus"": 0.1, ""trust_decay"": 0.9, ""use_gradient_candidate"": true, ""use_low_rank_candidate"": true, ""use_recoverability_gate"": false, ""use_stable_consensus_candidate"": true, ""use_trusted_direction_candidate"": true, ""weight_decay"": 0.0}",0.38740522414445877,0.10441077314317226,0.9138020873069763,0.97265625,56.0,14.0,3.863659458933398,0.029980350859350136,0.0,0.9607161551427152
tuning,breast_cancer_mlp,blockwise_consensus_direction_optimizer,2,"{""block_strategy"": ""smart_bcdo"", ""coherence_weight"": 0.26, ""conflict_penalty"": 0.12, ""consensus_matrix_mix"": 0.0, ""consensus_memory_mix"": 0.5, ""cost_penalty_weight"": 0.02, ""descent_weight"": 0.44, ""dimension_power"": 0.12, ""energy_decay"": 0.99, ""energy_power"": 0.65, ""fallback_threshold"": 0.0, ""grad_decay"": 0.99, ""improvement_weight"": 0.0, ""lr"": 0.01, ""magnitude_mode"": ""energy_normalized"", ""matrix_candidate_mode"": ""row_column_consensus"", ""matrix_consensus_bonus"": 0.05, ""max_scale"": 1.6, ""max_update_ratio"": 0.16, ""memory_decay"": 0.88, ""min_scale"": 0.75, ""oscillation_penalty"": 0.08, ""recoverability_drop_fraction"": 0.1, ""recoverability_interval"": 8, ""recoverability_keep_ratio"": 0.5, ""recoverability_noise_scale"": 0.02, ""recoverability_samples"": 0, ""recoverability_weight"": 0.0, ""recovery_threshold"": 0.55, ""row_column_energy_weight"": 0.7, ""row_column_mix"": 0.6, ""selection_mode"": ""winner_take_all"", ""selection_temperature"": 0.25, ""small_matrix_cutoff"": 1024, ""smooth_decay"": 0.94, ""stability_weight"": 0.22, ""stable_consensus_bonus"": 0.04, ""trust_decay"": 0.9, ""use_gradient_candidate"": true, ""use_low_rank_candidate"": true, ""use_recoverability_gate"": true, ""use_stable_consensus_candidate"": true, ""use_trusted_direction_candidate"": true, ""weight_decay"": 0.0}",0.4051503539085388,0.10441653802990913,0.9471354186534882,0.97265625,56.0,14.0,3.7000351659953594,0.026872730896697245,0.0,0.9608709596521743
tuning,breast_cancer_mlp,bcdo_structured_core,1,"{""block_strategy"": ""smart_v3"", ""coherence_weight"": 0.22, ""conflict_penalty"": 0.16, ""consensus_matrix_mix"": 0.18, ""consensus_memory_mix"": 0.42, ""cost_penalty_weight"": 0.03, ""descent_weight"": 0.48, ""dimension_power"": 0.08, ""fallback_threshold"": 0.1, ""grad_decay"": 0.97, ""improvement_weight"": 0.08, ""lr"": 0.018, ""magnitude_mode"": ""block_norm"", ""matrix_candidate_mode"": ""row_column_consensus"", ""matrix_consensus_bonus"": 0.06, ""max_scale"": 1.75, ""max_update_ratio"": 0.18, ""memory_decay"": 0.88, ""min_scale"": 0.7, ""orthogonal_strength"": 0.0, ""oscillation_penalty"": 0.16, ""projection_strength"": 0.0, ""recoverability_drop_fraction"": 0.1, ""recoverability_keep_ratio"": 0.5, ""recoverability_noise_scale"": 0.03, ""recoverability_samples"": 1, ""recoverability_weight"": 0.05, ""recovery_threshold"": 0.52, ""rmsprop_decay"": 0.97, ""row_column_energy_weight"": 0.55, ""row_column_mix"": 0.6, ""selection_mode"": ""winner_take_all"", ""selection_temperature"": 0.25, ""smooth_decay"": 0.96, ""stability_weight"": 0.12, ""stable_consensus_bonus"": 0.12, ""stress_candidate_penalty"": 0.16, ""stress_gate_power"": 1.0, ""stress_gate_threshold"": 0.28, ""topk_fraction"": 0.18, ""trust_decay"": 0.9, ""use_gradient_candidate"": true, ""use_low_rank_candidate"": true, ""use_muon_like_candidate"": false, ""use_normalized_gradient_candidate"": true, ""use_orthogonal_escape_candidate"": false, ""use_projection_candidate"": false, ""use_sign_candidate"": true, ""use_smoothed_direction_candidate"": true, ""use_sparse_topk_candidate"": true, ""use_stable_consensus_candidate"": true, ""use_trusted_direction_candidate"": true, ""weight_decay"": 0.0}",0.4046485275030136,0.40067441761493683,0.8726562559604645,0.953125,,,9.821541083045304,0.012558754468459037,0.0,0.9124296205150834
tuning,breast_cancer_mlp,bcdo_structured_core,2,"{""block_strategy"": ""tensor"", ""coherence_weight"": 0.3, ""conflict_penalty"": 0.24, ""consensus_matrix_mix"": 0.32, ""consensus_memory_mix"": 0.6, ""cost_penalty_weight"": 0.03, ""descent_weight"": 0.48, ""dimension_power"": 0.18, ""fallback_threshold"": 0.2, ""grad_decay"": 0.95, ""improvement_weight"": 0.08, ""lr"": 0.01, ""magnitude_mode"": ""block_norm"", ""matrix_candidate_mode"": ""rank1_svd"", ""matrix_consensus_bonus"": 0.06, ""max_scale"": 2.0, ""max_update_ratio"": 0.28, ""memory_decay"": 0.88, ""min_scale"": 0.8, ""orthogonal_strength"": 0.0, ""oscillation_penalty"": 0.24, ""projection_strength"": 0.0, ""recoverability_drop_fraction"": 0.1, ""recoverability_keep_ratio"": 0.65, ""recoverability_noise_scale"": 0.0, ""recoverability_samples"": 1, ""recoverability_weight"": 0.05, ""recovery_threshold"": 0.45, ""rmsprop_decay"": 0.97, ""row_column_energy_weight"": 0.55, ""row_column_mix"": 0.6, ""selection_mode"": ""top2_blend"", ""selection_temperature"": 0.2, ""smooth_decay"": 0.98, ""stability_weight"": 0.2, ""stable_consensus_bonus"": 0.12, ""stress_candidate_penalty"": 0.28, ""stress_gate_power"": 1.0, ""stress_gate_threshold"": 0.42, ""topk_fraction"": 0.28, ""trust_decay"": 0.94, ""use_gradient_candidate"": true, ""use_low_rank_candidate"": true, ""use_muon_like_candidate"": false, ""use_normalized_gradient_candidate"": true, ""use_orthogonal_escape_candidate"": false, ""use_projection_candidate"": false, ""use_sign_candidate"": true, ""use_smoothed_direction_candidate"": true, ""use_sparse_topk_candidate"": true, ""use_stable_consensus_candidate"": true, ""use_trusted_direction_candidate"": true, ""weight_decay"": 1e-05}",0.6559225916862488,0.6559225916862488,0.8119791746139526,0.8591145873069763,,,9.739438291988336,0.0006772875187304303,0.0,0.7934884637624149
tuning,breast_cancer_mlp,adamw,1,"{""lr"": 0.001, ""weight_decay"": 0.0001}",0.32889560982584953,0.11464622989296913,0.8804687559604645,0.953125,70.0,,0.15105820808093995,0.047471917481842985,0.0,0.9392867811366109
tuning,breast_cancer_mlp,adamw,2,"{""lr"": 0.003, ""weight_decay"": 0.001}",0.39622894674539566,0.10017703287303448,0.9432291686534882,0.9765625,42.0,70.0,0.14605766697786748,0.027564782363147574,0.0,0.9651665575945392
tuning,breast_cancer_mlp,rmsprop,1,"{""alpha"": 0.99, ""lr"": 0.005, ""momentum"": 0.0, ""weight_decay"": 0.0}",0.5062376260757446,0.08419516636058688,0.9549479186534882,0.984375,14.0,42.0,0.12723958294373006,0.008130181688307946,0.0,0.9755489742795259
tuning,breast_cancer_mlp,rmsprop,2,"{""alpha"": 0.95, ""lr"": 0.002, ""momentum"": 0.0, ""weight_decay"": 0.0}",0.37215515598654747,0.0952052278444171,0.9471354186534882,0.9765625,42.0,70.0,0.12648008298128843,0.014504246638301486,0.0,0.9663167648836433
tuning,breast_cancer_mlp,sgd_momentum,1,"{""lr"": 0.03, ""momentum"": 0.9, ""nesterov"": false, ""weight_decay"": 0.0}",0.383946031332016,0.10239871218800545,0.9471354186534882,0.9765625,56.0,126.0,0.11756779195275158,0.04262420918320193,0.0,0.9641914183220394
tuning,breast_cancer_mlp,sgd_momentum,2,"{""lr"": 0.03, ""momentum"": 0.85, ""nesterov"": false, ""weight_decay"": 0.0}",0.3570469617843628,0.10077031515538692,0.9138020873069763,0.96875,56.0,56.0,0.11699004203546792,0.04383722804902838,0.0,0.9564811070820098
