task,optimizer,baseline,win,two_x,rationale
breast_cancer_mlp,blockwise_consensus_direction_optimizer,bcdo_structured_core,True,False,higher best validation accuracy
digits_cnn,blockwise_consensus_direction_optimizer,bcdo_structured_core,True,False,higher best validation accuracy
digits_mlp,blockwise_consensus_direction_optimizer,bcdo_structured_core,True,False,higher best validation accuracy
moons_mlp,blockwise_consensus_direction_optimizer,bcdo_structured_core,True,False,higher best validation accuracy
wine_mlp,blockwise_consensus_direction_optimizer,bcdo_structured_core,True,False,higher best validation accuracy
breast_cancer_mlp,blockwise_consensus_direction_optimizer,magneto_hamiltonian_adam,True,False,higher best validation accuracy
digits_cnn,blockwise_consensus_direction_optimizer,magneto_hamiltonian_adam,True,False,higher best validation accuracy
digits_mlp,blockwise_consensus_direction_optimizer,magneto_hamiltonian_adam,True,False,higher best validation accuracy
moons_mlp,blockwise_consensus_direction_optimizer,magneto_hamiltonian_adam,True,False,higher best validation accuracy
wine_mlp,blockwise_consensus_direction_optimizer,magneto_hamiltonian_adam,True,False,higher best validation accuracy
breast_cancer_mlp,blockwise_consensus_direction_optimizer,real_hamiltonian_adam,True,False,higher best validation accuracy
digits_cnn,blockwise_consensus_direction_optimizer,real_hamiltonian_adam,True,False,higher best validation accuracy
digits_mlp,blockwise_consensus_direction_optimizer,real_hamiltonian_adam,True,False,higher best validation accuracy
moons_mlp,blockwise_consensus_direction_optimizer,real_hamiltonian_adam,True,False,higher best validation accuracy
wine_mlp,blockwise_consensus_direction_optimizer,real_hamiltonian_adam,True,False,higher best validation accuracy
breast_cancer_mlp,blockwise_consensus_direction_optimizer,adamw,True,False,matched accuracy with fewer steps
digits_cnn,blockwise_consensus_direction_optimizer,adamw,False,False,no clear advantage
digits_mlp,blockwise_consensus_direction_optimizer,adamw,False,False,no clear advantage
moons_mlp,blockwise_consensus_direction_optimizer,adamw,True,False,higher best validation accuracy
wine_mlp,blockwise_consensus_direction_optimizer,adamw,False,False,no clear advantage
breast_cancer_mlp,blockwise_consensus_direction_optimizer,rmsprop,False,False,no clear advantage
digits_cnn,blockwise_consensus_direction_optimizer,rmsprop,False,False,no clear advantage
digits_mlp,blockwise_consensus_direction_optimizer,rmsprop,False,False,no clear advantage
moons_mlp,blockwise_consensus_direction_optimizer,rmsprop,False,False,no clear advantage
wine_mlp,blockwise_consensus_direction_optimizer,rmsprop,False,False,no clear advantage
breast_cancer_mlp,blockwise_consensus_direction_optimizer,sgd_momentum,True,True,matched accuracy with fewer steps
digits_cnn,blockwise_consensus_direction_optimizer,sgd_momentum,False,False,no clear advantage
digits_mlp,blockwise_consensus_direction_optimizer,sgd_momentum,False,False,no clear advantage
moons_mlp,blockwise_consensus_direction_optimizer,sgd_momentum,False,False,no clear advantage
wine_mlp,blockwise_consensus_direction_optimizer,sgd_momentum,True,False,matched accuracy with fewer steps
breast_cancer_mlp,blockwise_consensus_direction_optimizer,topological_adam,True,False,matched accuracy with fewer steps
digits_cnn,blockwise_consensus_direction_optimizer,topological_adam,False,False,no clear advantage
digits_mlp,blockwise_consensus_direction_optimizer,topological_adam,False,False,no clear advantage
moons_mlp,blockwise_consensus_direction_optimizer,topological_adam,True,False,higher best validation accuracy
wine_mlp,blockwise_consensus_direction_optimizer,topological_adam,False,False,no clear advantage
